taxel,zone,zone_name,row,col,mu,sigma,own_rise,cross_rise,status
331,5,Anular — Palmar,5,1,0.000,0.000,1040.0,12.0,ok
332,5,Anular — Palmar,5,2,0.000,0.000,144.0,0.0,ok
333,5,Anular — Palmar,5,3,0.000,0.000,959.0,0.0,ok
334,5,Anular — Palmar,5,4,0.000,0.000,1211.0,0.0,ok
335,5,Anular — Palmar,5,5,0.000,0.000,291.0,0.0,ok
336,5,Anular — Palmar,5,6,0.000,0.000,1084.0,0.0,ok
337,5,Anular — Palmar,5,7,0.000,0.000,1440.0,23.0,ok
338,5,Anular — Palmar,6,0,0.000,0.000,898.0,0.0,ok
339,5,Anular — Palmar,6,1,0.000,0.000,1019.0,10.7,ok
340,5,Anular — Palmar,6,2,0.000,0.000,1100.0,0.0,ok
341,5,Anular — Palmar,6,3,0.000,0.000,1147.0,0.0,ok
342,5,Anular — Palmar,6,4,0.000,0.000,1119.0,0.0,ok
343,5,Anular — Palmar,6,5,0.000,0.000,1245.0,0.0,ok
344,5,Anular — Palmar,6,6,0.000,0.000,1310.0,0.0,ok
345,5,Anular — Palmar,6,7,0.000,0.000,1058.0,19.2,ok
346,5,Anular — Palmar,7,0,0.000,0.000,463.0,0.0,ok
347,5,Anular — Palmar,7,1,0.000,0.000,397.0,0.0,ok
348,5,Anular — Palmar,7,2,0.000,0.000,1126.0,0.0,ok
349,5,Anular — Palmar,7,3,0.000,0.000,759.0,0.0,ok
350,5,Anular — Palmar,7,4,0.010,0.129,409.0,0.0,noisy
351,5,Anular — Palmar,7,5,0.000,0.000,1194.0,0.0,ok
352,5,Anular — Palmar,7,6,0.000,0.000,967.0,0.0,ok
353,5,Anular — Palmar,7,7,0.593,1.717,442.0,4.0,noisy
354,5,Anular — Palmar,8,0,0.000,0.000,1078.7,1.0,ok
355,5,Anular — Palmar,8,1,0.000,0.000,925.0,0.0,ok
356,5,Anular — Palmar,8,2,0.000,0.000,214.0,0.0,ok
357,5,Anular — Palmar,8,3,0.000,0.000,915.0,0.0,ok
358,5,Anular — Palmar,8,4,0.000,0.000,761.0,0.0,ok
359,5,Anular — Palmar,8,5,0.000,0.000,190.0,0.0,ok
360,5,Anular — Palmar,8,6,0.000,0.000,951.0,0.0,ok
361,5,Anular — Palmar,8,7,0.000,0.000,1082.0,0.0,ok
362,5,Anular — Palmar,9,0,0.000,0.000,1144.0,0.0,ok
363,5,Anular — Palmar,9,1,0.000,0.000,1044.0,0.0,ok
364,5,Anular — Palmar,9,2,0.000,0.000,115.0,0.0,ok
365,5,Anular — Palmar,9,3,0.000,0.000,981.0,0.0,ok
366,5,Anular — Palmar,9,4,0.000,0.000,1047.0,0.0,ok
367,5,Anular — Palmar,9,5,0.000,0.000,195.0,0.0,ok
368,5,Anular — Palmar,9,6,0.000,0.000,880.0,0.0,ok
369,5,Anular — Palmar,9,7,0.000,0.000,1468.0,0.0,ok
370,6,Medio — Punta,0,0,0.000,0.000,,0.0,unknown
371,6,Medio — Punta,0,1,0.000,0.000,,0.0,unknown
372,6,Medio — Punta,0,2,0.000,0.000,,0.0,unknown
373,6,Medio — Punta,1,0,0.000,0.000,,0.0,unknown
374,6,Medio — Punta,1,1,0.000,0.000,,0.0,unknown
375,6,Medio — Punta,1,2,0.000,0.000,,0.0,unknown
376,6,Medio — Punta,2,0,0.000,0.000,,0.0,unknown
377,6,Medio — Punta,2,1,0.000,0.000,,0.0,unknown
378,6,Medio — Punta,2,2,0.000,0.000,,0.0,unknown
379,7,Medio — Distal,0,0,0.000,0.000,145.0,0.0,ok
380,7,Medio — Distal,0,1,0.000,0.000,0.0,0.0,stuck_low
381,7,Medio — Distal,0,2,0.000,0.000,0.0,0.0,stuck_low
382,7,Medio — Distal,0,3,0.000,0.000,0.0,0.0,stuck_low
383,7,Medio — Distal,0,4,0.000,0.000,74.0,0.0,ok
384,7,Medio — Distal,0,5,0.000,0.000,0.0,0.0,stuck_low
385,7,Medio — Distal,0,6,0.000,0.000,0.0,0.0,stuck_low
386,7,Medio — Distal,0,7,0.000,0.000,0.0,0.0,stuck_low
387,7,Medio — Distal,1,0,0.000,0.000,270.0,0.0,ok
388,7,Medio — Distal,1,1,0.000,0.000,213.0,0.0,ok
389,7,Medio — Distal,1,2,0.000,0.000,141.0,0.0,ok
390,7,Medio — Distal,1,3,0.000,0.000,188.0,0.0,ok
391,7,Medio — Distal,1,4,0.000,0.000,33.0,0.0,ok
392,7,Medio — Distal,1,5,0.000,0.000,95.0,0.0,ok
393,7,Medio — Distal,1,6,0.000,0.000,137.0,0.0,ok
