t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
4.496580,1,0,95,58,92,98,396,1557,0,0,0,0,51,-8,35
4.501718,0,0,95,58,92,98,396,1557,0,0,0,0,51,-8,35
4.515283,0,1,95,58,92,98,396,1557,-1,0,0,0,51,-8,35
4.525595,1,1,95,58,92,98,398,1557,-1,0,-1,0,52,-8,59
4.530126,0,0,95,58,92,98,398,1557,-1,0,-1,0,52,-8,59
4.534988,0,1,95,58,92,98,398,1557,0,0,-1,0,52,-8,59
4.546848,0,0,95,58,92,98,398,1557,0,0,-1,0,52,-8,59
4.556475,0,0,95,58,92,98,398,1557,0,0,-1,0,52,-8,77
4.560735,1,1,95,58,92,98,399,1557,0,0,-1,0,52,-9,77
4.565681,0,0,95,58,92,98,399,1557,0,0,-1,0,52,-9,77
4.578239,0,0,95,58,92,98,399,1557,0,0,-1,0,52,-9,47
4.588473,1,0,95,58,92,98,401,1557,0,0,-1,0,52,-9,47
4.593471,0,0,95,58,92,98,401,1557,0,0,-1,0,52,-9,47
4.607829,0,1,95,58,92,98,401,1557,-1,0,-1,0,52,-9,47
4.613017,1,1,95,58,92,98,403,1557,-1,0,0,0,53,-8,83
4.620142,0,0,95,58,92,98,403,1557,-1,0,0,0,53,-8,83
4.624323,0,0,95,58,92,98,403,1557,-1,0,0,0,53,-8,83
4.628537,0,1,95,58,92,98,403,1557,0,0,0,0,53,-8,83
4.639558,0,1,95,58,92,98,403,1557,0,0,-1,0,53,-8,83
4.643858,1,0,95,58,92,98,407,1557,0,0,-1,0,53,-8,108
4.652294,0,0,95,58,92,98,407,1557,0,0,-1,0,53,-8,108
4.657127,0,1,95,58,92,98,407,1557,-1,0,-1,0,53,-8,108
4.670153,0,0,95,58,92,98,407,1557,-1,0,-1,0,53,-8,108
4.674343,1,0,95,58,92,98,410,1557,-1,0,-1,0,53,-8,84
4.681641,0,0,95,58,92,98,410,1557,-1,0,-1,0,53,-8,84
4.686183,0,0,95,58,92,98,410,1557,-1,0,-1,0,53,-8,84
4.690296,0,1,95,58,92,98,410,1557,0,0,0,0,53,-8,84
4.701741,0,0,95,58,92,98,410,1557,0,0,0,0,53,-8,95
4.711583,1,0,95,58,92,98,413,1557,0,0,0,0,53,-8,95
4.715679,0,0,95,58,92,98,413,1557,0,0,0,0,53,-8,95
4.719761,0,0,95,58,92,98,413,1557,0,0,0,0,53,-8,95
4.732382,0,0,95,58,92,98,413,1557,0,0,0,0,53,-8,97
4.736584,1,0,95,58,92,98,414,1557,0,0,0,0,53,-8,97
4.744123,0,0,95,58,92,98,414,1557,0,0,0,0,53,-8,97
4.748732,0,0,95,58,92,98,414,1557,0,0,0,0,53,-8,97
4.762316,0,0,95,58,92,98,414,1557,0,0,0,0,53,-8,83
4.766874,1,1,95,58,92,98,416,1557,0,0,0,0,53,-9,83
4.775026,0,0,95,58,92,98,416,1557,0,0,0,0,53,-9,83
4.779612,0,1,95,58,92,98,416,1557,-1,0,0,0,53,-9,83
4.783872,0,0,95,58,92,98,416,1557,-1,0,0,0,53,-9,81
4.795488,1,1,95,58,92,98,417,1557,-1,0,0,0,53,-8,81
4.805256,0,0,95,58,92,98,417,1557,-1,0,0,0,53,-8,81
4.809438,0,0,95,58,92,98,417,1557,-1,0,0,0,53,-8,81
4.813676,0,0,95,58,92,98,417,1557,-1,0,0,0,53,-8,100
4.825845,1,0,95,58,92,98,419,1557,-1,0,0,0,53,-8,100
4.835403,0,0,95,58,92,98,419,1557,-1,0,0,0,53,-8,100
4.840379,0,1,95,58,92,98,419,1557,0,0,0,0,53,-8,100
4.845755,0,0,95,58,92,98,419,1557,0,0,0,0,53,-8,55
4.856814,1,0,95,58,92,98,422,1557,0,0,0,0,53,-8,55
4.866452,0,0,95,58,92,98,422,1557,0,0,0,0,53,-8,55
4.870690,0,1,95,58,92,98,422,1557,-1,0,0,0,53,-8,55
4.874920,0,0,95,58,92,98,422,1557,-1,0,0,0,53,-8,82
4.887550,1,0,95,58,92,98,424,1557,-1,0,0,0,53,-8,82
4.891798,0,1,95,58,92,98,424,1557,0,0,0,0,53,-8,82
4.899510,0,0,95,58,92,98,424,1557,0,0,0,0,53,-8,82
4.904735,0,0,95,58,92,98,424,1557,0,0,0,0,53,-8,68
4.918270,1,0,95,58,92,98,426,1557,0,0,0,0,53,-8,68
4.928500,0,0,95,58,92,98,426,1557,0,0,0,0,53,-8,68
4.933296,0,0,95,58,92,98,426,1557,0,0,0,0,53,-8,68
4.938275,1,0,95,58,92,98,429,1557,0,0,0,0,53,-8,53
4.949806,0,0,95,58,92,98,429,1557,0,0,0,0,53,-8,53
4.959416,0,0,95,58,92,98,429,1557,0,0,0,0,53,-8,53
4.963655,0,0,95,58,92,98,429,1557,0,0,0,0,53,-8,73
4.967822,1,0,95,58,92,98,430,1557,0,0,0,0,53,-8,73
4.981231,0,0,95,58,92,98,430,1557,0,0,0,0,53,-8,73
4.990816,0,0,95,58,92,98,430,1557,0,0,0,0,53,-8,73
