t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
36.369916,1,1,93,59,96,1377,245,50,1,1,0,132,-1,-3,0
36.381580,0,0,93,59,96,1377,245,50,1,1,0,132,-1,-3,0
36.392017,0,0,93,59,96,1377,245,50,1,1,0,132,-1,-3,0
36.397077,0,1,93,59,96,1377,245,50,1,1,0,130,-1,-3,0
36.410674,0,0,93,59,96,1377,245,50,1,1,0,130,-1,-3,0
36.415893,0,0,93,59,96,1377,245,50,1,1,0,130,-1,-3,0
36.423255,0,1,93,59,96,1377,245,50,0,1,0,130,-1,-3,0
36.427466,1,0,93,60,96,1377,245,50,0,1,0,130,-1,-3,0
36.432099,0,0,93,60,96,1377,245,50,0,1,0,130,-1,-3,0
36.443906,0,0,93,60,96,1377,245,50,0,1,0,130,-1,-3,0
36.453723,0,0,93,60,96,1377,245,50,0,1,0,130,-1,-3,0
36.458326,0,1,93,60,96,1377,245,50,0,1,0,129,-1,-3,0
36.460991,0,0,93,60,96,1377,245,50,0,1,0,129,-1,-3,0
36.474058,0,0,93,60,96,1377,245,50,0,1,0,129,-1,-3,0
36.483896,0,1,93,60,96,1377,245,50,1,1,0,129,-1,-3,0
36.488094,0,1,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.492722,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.504923,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.509457,0,1,93,60,96,1377,245,50,0,1,0,128,-1,-3,0
36.516126,0,0,93,60,96,1377,245,50,0,1,0,128,-1,-3,0
36.520194,0,0,93,60,96,1377,245,50,0,1,0,128,-1,-3,0
36.524286,0,0,93,60,96,1377,245,50,0,1,0,128,-1,-3,0
36.536009,0,0,93,60,96,1377,245,50,0,1,0,128,-1,-3,0
36.545645,0,1,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.549796,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.553892,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.567491,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.577884,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.585401,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.598762,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.608227,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.612837,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.617085,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.629117,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,0
36.638611,0,0,93,60,96,1377,245,50,1,1,0,128,-1,-3,19
36.643196,1,1,93,60,96,1378,245,50,1,1,0,138,-1,-3,19
36.647317,0,0,93,60,96,1378,245,50,1,1,0,138,-1,-3,19
36.660441,0,0,93,60,96,1378,245,50,1,1,0,138,-1,-3,19
36.670203,0,1,93,60,96,1378,245,50,1,1,0,133,-1,-3,0
36.674835,0,0,93,60,96,1378,245,50,1,1,0,133,-1,-3,0
36.678979,0,0,93,60,96,1378,245,50,1,1,0,133,-1,-3,0
36.690795,0,1,93,60,96,1378,245,50,0,1,0,133,-1,-3,0
36.694964,0,1,93,60,96,1378,245,50,0,1,0,132,-1,-3,0
36.702318,0,0,93,60,96,1378,245,50,0,1,0,132,-1,-3,0
36.706536,0,0,93,60,96,1378,245,50,0,1,0,132,-1,-3,0
36.710843,0,1,93,60,96,1378,245,50,1,1,0,132,-1,-3,0
36.721764,0,0,93,60,96,1378,245,50,1,1,0,132,-1,-3,0
36.725843,0,1,93,60,96,1378,245,50,1,1,0,131,-1,-3,0
36.733672,0,0,93,60,96,1378,245,50,1,1,0,131,-1,-3,0
36.738231,0,0,93,60,96,1378,245,50,1,1,0,131,-1,-3,0
36.740430,0,0,93,60,96,1378,245,50,1,1,0,131,-1,-3,0
36.752898,0,0,93,60,96,1378,245,50,1,1,0,131,-1,-3,0
36.756982,0,1,93,60,96,1378,245,50,1,1,0,131,0,-3,0
36.764347,0,0,93,60,96,1378,245,50,1,1,0,131,0,-3,0
36.768529,0,0,93,60,96,1378,245,50,1,1,0,131,0,-3,0
36.772679,0,0,93,60,96,1378,245,50,1,1,0,131,0,-3,0
36.783919,0,0,93,60,96,1378,245,50,1,1,0,131,0,-3,0
36.793789,0,1,93,60,96,1378,245,50,1,1,0,130,-1,-3,0
36.798740,0,0,93,60,96,1378,245,50,1,1,0,130,-1,-3,0
36.803470,0,0,93,60,96,1378,245,50,1,1,0,130,-1,-3,0
36.815465,0,0,93,60,96,1378,245,50,1,1,0,130,-1,-3,0
36.824971,0,0,93,60,96,1378,245,50,1,1,0,130,-1,-3,0
36.829983,0,0,93,60,96,1378,245,50,1,1,0,130,-1,-3,0
36.834233,0,1,93,60,96,1378,245,50,1,0,0,130,-1,-3,0
36.846513,0,0,93,60,96,1378,245,50,1,0,0,130,-1,-3,0
36.856866,0,0,93,60,96,1378,245,50,1,0,0,130,-1,-3,0
36.865146,0,0,93,60,96,1378,245,50,1,0,0,130,-1,-3,0
36.877629,0,0,93,60,96,1378,245,50,1,0,0,130,-1,-3,0
36.887289,0,1,93,60,96,1378,245,50,1,0,0,130,-2,-3,0
36.891469,0,0,93,60,96,1378,245,50,1,0,0,130,-2,-3,0
36.896010,0,1,93,60,96,1378,245,50,1,1,0,130,-2,-3,0
36.908052,0,1,93,60,96,1378,245,50,1,1,0,137,-1,-3,117
36.917725,0,0,93,60,96,1378,245,50,1,1,0,137,-1,-3,117
36.922261,0,0,93,60,96,1378,245,50,1,1,0,137,-1,-3,117
36.926818,0,0,93,60,96,1378,245,50,1,1,0,137,-1,-3,117
36.939392,1,1,93,60,96,1381,245,50,1,1,0,140,-2,-3,122
36.949091,0,0,93,60,96,1381,245,50,1,1,0,140,-2,-3,122
36.953348,0,0,93,60,96,1381,245,50,1,1,0,140,-2,-3,122
36.957462,0,0,93,60,96,1381,245,50,1,1,0,140,-2,-3,122
36.969998,1,1,93,60,96,1382,245,50,1,1,0,135,-1,-3,0
