t_s,force4,force3,force2,pos,cur
2.774,453,283,423,612,0
2.776,453,283,423,612,0
2.787,453,283,423,612,0
2.789,453,283,423,612,0
2.791,453,283,423,612,0
2.798,453,283,423,612,0
2.801,453,283,423,612,0
2.804,453,283,423,612,0
2.806,453,283,423,612,0
2.817,453,283,423,612,0
2.820,453,283,423,612,0
2.822,453,283,424,612,0
2.829,453,283,424,612,0
2.832,453,283,424,612,0
2.835,453,283,424,612,0
2.838,453,283,424,612,0
2.849,453,283,423,612,0
2.851,453,283,423,612,0
2.853,453,283,423,612,0
2.860,453,283,423,612,0
2.862,453,283,423,612,0
2.865,453,283,423,612,0
2.866,453,283,423,612,0
2.868,453,283,423,612,0
2.879,453,283,423,612,0
2.881,453,283,423,612,0
2.883,453,283,423,612,0
2.885,453,283,423,612,0
2.892,453,283,423,612,0
2.894,453,283,423,612,0
2.896,453,283,423,612,0
2.897,453,283,423,612,0
2.899,453,283,423,612,0
2.910,453,283,423,612,0
2.912,453,283,423,612,0
2.914,453,283,423,612,0
2.921,453,283,423,612,0
2.924,453,283,423,612,0
2.927,453,283,423,612,0
2.929,453,283,423,612,0
2.931,453,283,423,612,0
2.943,453,282,423,612,0
2.945,453,282,423,612,0
2.946,453,282,423,612,0
2.954,453,282,423,612,0
2.956,453,282,423,612,0
2.959,453,282,423,612,0
2.962,453,282,423,612,0
2.974,453,282,423,612,0
2.976,453,282,423,612,0
2.984,453,282,423,612,0
2.987,453,282,423,612,0
2.989,453,282,423,612,0
2.991,453,282,423,612,0
2.993,453,282,423,612,0
3.004,453,282,423,612,0
3.007,453,282,423,612,0
3.015,453,282,423,612,0
3.017,453,282,423,612,0
3.019,453,282,423,612,0
3.021,453,282,423,612,0
3.023,453,282,423,612,0
3.025,453,282,423,612,0
3.037,453,282,423,612,0
3.039,453,282,423,612,0
3.047,453,282,423,612,0
3.049,453,282,423,612,0
3.051,453,282,423,612,0
3.054,453,282,423,612,0
3.065,453,282,423,612,0
3.068,453,282,423,612,0
3.070,453,282,423,612,0
3.078,453,282,423,612,0
3.080,453,282,423,612,0
3.083,453,282,423,612,0
3.085,453,282,423,612,0
3.087,453,282,423,612,0
3.098,453,282,423,612,0
3.100,453,282,423,612,0
3.108,453,282,423,612,0
3.110,453,282,423,612,0
3.112,453,282,423,612,0
3.114,453,282,423,612,0
3.116,453,282,423,612,0
3.128,453,282,423,612,0
3.131,453,282,423,612,0
3.139,453,282,423,612,0
3.141,453,282,423,612,0
3.143,453,282,423,612,0
3.145,453,282,423,612,0
3.146,453,282,423,612,0
3.149,453,282,424,612,0
3.159,453,282,424,612,0
3.161,453,282,424,612,0
3.163,453,282,424,612,0
3.170,453,282,424,612,0
3.172,453,282,424,612,0
3.175,453,282,424,612,0
3.177,453,282,424,612,0
3.180,453,282,423,612,0
3.191,453,282,423,612,0
3.192,453,282,423,612,0
3.194,453,282,423,612,0
3.202,453,282,423,612,0
3.204,453,282,423,612,0
3.207,453,282,423,612,0
3.209,453,282,423,612,0
3.220,453,282,423,612,0
3.222,453,282,423,612,0
3.225,453,282,423,612,0
3.232,453,282,423,612,0
3.235,453,282,423,612,0
3.237,453,282,423,612,0
3.240,453,282,423,612,0
3.242,453,282,423,612,0
3.253,453,282,423,612,0
3.255,453,282,423,612,0
3.262,453,282,423,612,0
3.264,453,282,423,612,0
3.267,453,282,423,612,0
3.269,453,282,423,612,0
3.270,453,282,423,612,0
3.273,453,282,423,612,0
3.285,453,282,423,612,0
3.287,453,282,423,612,0
3.295,453,282,423,612,0
3.297,453,282,423,612,0
3.300,453,282,423,612,0
3.302,453,282,423,612,0
3.304,453,282,423,612,0
3.315,453,282,423,612,0
3.318,453,282,423,612,0
3.325,453,282,423,612,0
3.328,453,282,423,612,0
3.330,453,282,423,612,0
3.332,453,282,423,612,0
3.334,453,282,423,612,0
3.346,453,282,423,612,0
3.348,453,282,423,612,0
3.355,453,282,423,612,0
3.358,453,282,423,612,0
3.361,453,282,423,612,0
3.363,453,282,423,612,0
3.365,453,282,423,612,0
3.376,453,282,423,612,0
3.378,453,282,423,612,0
3.380,453,282,423,612,0
3.387,453,282,423,612,0
3.389,453,282,423,612,0
3.391,453,282,423,612,0
3.393,453,282,423,612,0
3.395,453,282,423,612,0
3.407,453,282,423,612,0
3.410,453,282,423,612,0
3.418,453,282,423,612,0
3.421,453,282,423,612,0
3.424,453,282,423,612,0
3.427,453,282,423,612,0
3.438,453,282,423,612,0
3.440,453,282,423,612,0
3.443,453,282,423,612,0
3.451,453,282,423,612,0
3.453,453,283,423,612,0
3.456,453,283,423,612,0
3.458,453,283,423,612,0
3.469,453,283,423,612,0
3.471,453,283,423,612,0
3.473,453,283,423,612,0
3.480,453,283,423,612,0
3.482,453,283,423,612,0
3.484,453,283,423,612,0
3.486,453,283,423,612,0
3.487,453,283,423,612,0
3.490,453,283,423,612,0
3.500,453,283,423,612,0
3.502,453,283,423,612,0
3.504,453,283,423,612,0
3.512,453,283,423,612,0
3.513,453,283,423,612,0
3.515,453,283,423,612,0
3.517,453,283,423,612,0
3.519,453,283,423,612,0
3.521,453,283,423,612,0
3.532,453,283,423,612,0
3.534,453,283,423,612,0
3.541,453,283,423,612,0
3.544,453,283,423,612,0
3.546,453,283,423,612,0
3.548,453,282,423,612,0
3.550,453,282,423,612,0
3.561,453,282,423,612,0
3.564,453,282,423,612,0
3.566,453,282,423,612,0
3.573,453,282,423,612,0
3.575,453,282,424,612,0
3.577,453,282,424,612,0
3.579,453,282,424,612,0
3.581,453,282,424,612,0
3.593,453,282,424,612,0
3.595,453,282,424,612,0
3.597,453,282,424,612,0
3.606,453,282,423,612,0
3.608,453,282,423,612,0
3.612,453,282,423,612,0
3.623,453,282,423,612,0
3.627,453,282,423,612,0
