cycle,phase,t_s,force_g,pos_act,cur_mA,fresh_f,fresh_p
a1,hold,1.5430,439,1469,0,0,0
a1,hold,1.5475,437,1469,0,1,0
a1,hold,1.5521,437,1469,0,0,0
a1,hold,1.5649,437,1469,0,0,0
a1,hold,1.5750,437,1469,0,0,0
a1,hold,1.5795,437,1469,0,1,0
a1,hold,1.5837,437,1469,0,0,0
a1,hold,1.5955,437,1469,0,0,0
a1,hold,1.6052,436,1469,0,1,0
a1,hold,1.6094,436,1469,0,0,0
a1,hold,1.6136,436,1469,0,0,0
a1,hold,1.6270,436,1469,0,0,0
a1,hold,1.6366,436,1469,0,0,0
a1,hold,1.6412,436,1469,0,0,0
a1,hold,1.6455,436,1469,0,0,0
a1,hold,1.6578,436,1469,0,0,0
a1,hold,1.6671,436,1469,0,0,0
a1,hold,1.6713,436,1469,0,1,0
a1,hold,1.6762,436,1469,0,0,0
a1,hold,1.6888,436,1469,0,0,0
a1,hold,1.6986,436,1469,0,0,0
a1,hold,1.7033,436,1469,0,1,0
a1,hold,1.7082,436,1469,0,0,0
a1,hold,1.7195,436,1469,0,0,0
a1,hold,1.7292,435,1469,0,1,0
a1,hold,1.7340,435,1469,0,1,0
a1,hold,1.7382,435,1469,0,0,0
