trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof2_v750_F500_n01.csv,2,750,500,3112,2612,137,266,1453,585,1,,2,-7,tcp1,50
A_dof2_v100_F500_n04.csv,2,100,500,1052,552,736,1074,1479,607,0,,1,-9,tcp1,52
A_dof2_v25_F1000_n04.csv,2,25,1000,1227,227,918,4185,1489,585,0,,3,-9,tcp1,50
A_dof2_v1000_F500_n01.csv,2,1000,500,3566,3066,49,260,1618,560,1,,4,-11,tcp1,52
A_dof2_v100_F1000_n02.csv,2,100,1000,1428,428,1199,1150,1484,600,0,,2,11,tcp1,52
A_dof2_v50_F500_n00.csv,2,50,500,752,252,605,2015,1488,582,0,,1,-13,tcp1,52
A_dof2_v750_F100_n04.csv,2,750,100,2897,2797,97,257,1436,574,1,,2,-13,tcp1,52
A_dof2_v100_F250_n00.csv,2,100,250,676,426,359,1018,1486,570,0,,1,-14,tcp1,52
A_dof2_v750_F1000_n04.csv,2,750,1000,3526,2526,308,296,1468,643,1,,3,-14,tcp1,50
A_dof2_v250_F750_n01.csv,2,250,750,2870,2120,294,529,1492,546,1,,4,-13,tcp1,52
A_dof2_v500_F1000_n02.csv,2,500,1000,3223,2223,231,326,1455,609,1,,3,-14,tcp1,52
A_dof2_v250_F100_n02.csv,2,250,100,463,363,91,468,1468,615,0,,2,-14,tcp1,52
A_dof2_v500_F100_n03.csv,2,500,100,1283,1183,86,312,1448,578,0,,3,-15,tcp1,52
A_dof2_v500_F1000_n04.csv,2,500,1000,2999,1999,206,337,1462,599,1,,3,-15,tcp1,52
A_dof2_v750_F250_n00.csv,2,750,250,2814,2564,81,247,1434,606,1,,3,-15,tcp1,52
A_dof2_v100_F750_n01.csv,2,100,750,940,190,806,1098,1489,579,0,,1,-15,tcp1,52
A_dof2_v25_F500_n00.csv,2,25,500,591,91,511,3907,1489,587,0,,1,-15,tcp1,52
A_dof2_v500_F250_n02.csv,2,500,250,3066,2816,337,337,1456,606,1,,3,-15,tcp1,52
A_dof2_v250_F1000_n03.csv,2,250,1000,1956,956,1011,534,1466,592,0,,3,-14,tcp1,52
